"keys","en","fr"
"PULL THE LEVER","PULL THE LEVER","TIREZ LE LEVIER"
"THE COLLECTION","THE COLLECTION","LA COLLECTION"
"THE DAILY","THE DAILY","LE DÉFI DU JOUR"
"CONTINUE","CONTINUE","CONTINUER"
"RESUME","RESUME","REPRENDRE"
"SETTINGS","SETTINGS","RÉGLAGES"
"SKIP THE LESSON","SKIP THE LESSON","PASSER LA LEÇON"
"ABANDON THE RUN","ABANDON THE RUN","ABANDONNER LA PARTIE"
"QUIT","QUIT","QUITTER"
"BACK","BACK","RETOUR"
"HOW TO PLAY","HOW TO PLAY","COMMENT JOUER"
"PLAY THIS SEED","PLAY THIS SEED","JOUER CETTE GRAINE"
"MACHINE","MACHINE","MACHINE"
"CHALLENGE","CHALLENGE","DÉFI"
"THE AUDIT","THE AUDIT","L'AUDIT"
"MASTER","MASTER","GÉNÉRAL"
"MUSIC","MUSIC","MUSIQUE"
"SOUND","SOUND","SON"
"ROOM","ROOM","AMBIANCE"
"PACE","PACE","RYTHME"
"TEXT","TEXT","TEXTE"
"PICTURE","PICTURE","IMAGE"
"ON SCREEN","ON SCREEN","À L'ÉCRAN"
"SLOW","SLOW","LENT"
"NORMAL","NORMAL","NORMAL"
"QUICK","QUICK","RAPIDE"
"RECEIPT","RECEIPT","REÇU"
"PAYS","PAYS","PAIE"
"WOULD PAY","WOULD PAY","PAIERAIT"
"MULTIPLIER","MULTIPLIER","MULTIPLICATEUR"
"THE BANK","THE BANK","LA BANQUE"
"NOTHING PAID","NOTHING PAID","RIEN PAYÉ"
"STANDING — not yet banked","STANDING — not yet banked","EN JEU — pas encore encaissé"
"SPIN","SPIN","LANCER"
"SETTLE THE ANTE","SETTLE THE ANTE","RÉGLER L'ANTE"
"SETTLE NOW","SETTLE NOW","RÉGLER MAINTENANT"
"TAKE IT","TAKE IT","ACCEPTER"
"DOUBLE","DOUBLE","DOUBLER"
"COLLECT","COLLECT","ENCAISSER"
"STAKE −","STAKE −","MISE −"
"STAKE +","STAKE +","MISE +"
"BANK","BANK","BANQUE"
"BREAK","BREAK","FORCER"
"BREAK THE VAULT","BREAK THE VAULT","FORCER LE COFFRE"
"+ ROW","+ ROW","+ RANGÉE"
"+ REEL","+ REEL","+ ROULEAU"
"A WORD","A WORD","UN MOT"
"THE PRESS","THE PRESS","LA PRESSE"
"THE POCKET","THE POCKET","LA POCHE"
"THE DOORMAN","THE DOORMAN","LE PORTIER"
"Leave the draft","Leave the draft","Laisser le tirage"
"STATEMENT OF ACCOUNT","STATEMENT OF ACCOUNT","RELEVÉ DE COMPTE"
"THE HOUSE FINDS","THE HOUSE FINDS","LA MAISON CONSTATE"
"THE HOUSE NOTES","THE HOUSE NOTES","LA MAISON NOTE"
"FLOORS CLEARED","FLOORS CLEARED","ÉTAGES FRANCHIS"
"SPINS","SPINS","LANCERS"
"EARNED","EARNED","GAGNÉ"
"BEST SPIN","BEST SPIN","MEILLEUR LANCER"
"CHIPS EARNED","CHIPS EARNED","JETONS GAGNÉS"
"HARDWARE","HARDWARE","MATÉRIEL"
"OWED AT THE CLOSE","OWED AT THE CLOSE","DÛ À LA CLÔTURE"
"IN HAND","IN HAND","EN MAIN"
"DEAD","DEAD","MORT"
"SCRAPING","SCRAPING","MAIGRE"
"PAID","PAID","PAYÉ"
"STRONG","STRONG","FORT"
"HEAVY","HEAVY","LOURD"
"OVERLOAD","OVERLOAD","SURCHARGE"
"STANDING","STANDING","EN JEU"
"The Clamp","The Clamp","L'Étau"
"Every reel locked is a reel that pays. The machine is held still and charged for it, and the charge comes back with interest.","Every reel locked is a reel that pays. The machine is held still and charged for it, and the charge comes back with interest.","Chaque rouleau bloqué est un rouleau qui paie. La machine est immobilisée et facturée pour cela, et la note revient avec intérêts."
"The Clock","The Clock","L'Horloge"
"Spins bought, spins refunded, and boilers that pay nothing until they light. The build that plays the floor's time as a resource.","Spins bought, spins refunded, and boilers that pay nothing until they light. The build that plays the floor's time as a resource.","Des lancers achetés, des lancers remboursés, et des chaudières qui ne paient rien tant qu'elles ne sont pas allumées. Le montage qui joue le temps de l'étage comme une ressource."
"The Exchange","The Exchange","Le Central"
"Many small devices, each firing on every line, and a switchboard that pays by the trigger. The build that is more than the sum of its trinkets.","Many small devices, each firing on every line, and a switchboard that pays by the trigger. The build that is more than the sum of its trinkets.","De nombreux petits appareils, chacun se déclenchant sur chaque ligne, et un central qui paie au déclenchement. Le montage qui vaut plus que la somme de ses babioles."
"The Marker","The Marker","Le Gage"
"The debt is the build. Every hundred owed is leverage, every creditor on the machine a multiplier, and paying it down is the one thing the build cannot afford.","The debt is the build. Every hundred owed is leverage, every creditor on the machine a multiplier, and paying it down is the one thing the build cannot afford.","La dette, c'est le montage. Chaque centaine due est un effet de levier, chaque créancier sur la machine un multiplicateur, et la rembourser est la seule chose que le montage ne peut se permettre."
"The Orchard","The Orchard","Le Verger"
"The ledger of everything that has ever landed. Fruit by the bushel, sevens by the count, and a multiplier that has been growing since the basement.","The ledger of everything that has ever landed. Fruit by the bushel, sevens by the count, and a multiplier that has been growing since the basement.","Le grand livre de tout ce qui est jamais tombé. Des fruits au boisseau, des sept par dizaines, et un multiplicateur qui grossit depuis le sous-sol."
"The Payroll","The Payroll","La Paie"
"Skulls on the reel, skulls on the payroll, and a book that pays more the more of them stand. The House's own curse, turned into wages.","Skulls on the reel, skulls on the payroll, and a book that pays more the more of them stand. The House's own curse, turned into wages.","Des crânes sur le rouleau, des crânes sur la paie, et un registre qui paie d'autant plus qu'il en reste debout. La malédiction même de la Maison, changée en salaire."
"The Trail","The Trail","La Piste"
"The drums are stopped where they are told to stop. Every nudge spent is a step, and the hardware pays by the step.","The drums are stopped where they are told to stop. Every nudge spent is a step, and the hardware pays by the step.","Les tambours s'arrêtent où on leur dit de s'arrêter. Chaque poussée dépensée est un pas, et le matériel paie au pas."
"The Whale","The Whale","La Baleine"
"Play at the top of the stake and let the hardware make the wager pay more than it costs. Win loudly, and pay to keep the room calm.","Play at the top of the stake and let the hardware make the wager pay more than it costs. Win loudly, and pay to keep the room calm.","Jouez au sommet de la mise et laissez le matériel faire payer le pari plus qu'il ne coûte. Gagnez bruyamment, et payez pour que la salle reste calme."
"Bank Charter","Bank Charter","Charte Bancaire"
"Your float is a business now. Pays 12% of cash per floor, up to 120.","Your float is a business now. Pays 12% of cash per floor, up to 120.","Votre trésorerie est une affaire, désormais. Paie 12 % de l'argent par étage, jusqu'à 120."
"Bar Tab","Bar Tab","L'Ardoise du Bar"
"Every Bar goes on the tab. +0.1x per Bar landed this run, up to +4.0x.","Every Bar goes on the tab. +0.1x per Bar landed this run, up to +4.0x.","Chaque Bar passe à l'ardoise. +0,1x par Bar tombé cette partie, jusqu'à +4,0x."
"Boiler Room","Boiler Room","La Chaufferie"
"The whole floor runs on steam. +0.14x per spin left on the floor, up to +2.5x.","The whole floor runs on steam. +0.14x per spin left on the floor, up to +2.5x.","Tout l'étage tourne à la vapeur. +0,14x par lancer restant sur l'étage, jusqu'à +2,5x."
"Bone Orchard","Bone Orchard","Le Verger d'Ossements"
"Skulls grow where they are planted. +6 draw weight on Skull.","Skulls grow where they are planted. +6 draw weight on Skull.","Les crânes poussent où ils sont plantés. +6 de poids de tirage sur Crâne."
